subject,seed,arm,session_block_order,accuracy,balanced_accuracy,f1,roc_auc,n_windows,n_true_positive_class,n_predicted_positive,confusion_matrix
sub-27,0,tent_literal,metadata_order,0.5374149659863946,0.5373935579415032,0.5405405405405406,0.5111069974083673,147,74,74,"[[39, 34], [34, 40]]"
sub-28,0,tent_literal,metadata_order,0.4580152671755725,0.4497392128971076,0.3826086956521739,0.4658605974395448,131,57,58,"[[38, 36], [35, 22]]"
sub-29,0,tent_literal,metadata_order,0.589041095890411,0.589527027027027,0.5774647887323944,0.5840840840840842,146,74,68,"[[45, 27], [33, 41]]"
sub-30,0,tent_literal,metadata_order,0.4657534246575342,0.4657534246575342,0.4657534246575342,0.4738224807656221,146,73,73,"[[34, 39], [39, 34]]"
sub-31,0,tent_literal,metadata_order,0.3958333333333333,0.39542735867258344,0.37410071942446044,0.42562222650974346,144,71,68,"[[31, 42], [45, 26]]"
sub-32,0,tent_literal,metadata_order,0.6541353383458647,0.652262443438914,0.6166666666666667,0.6893665158371041,133,65,55,"[[50, 18], [28, 37]]"
sub-33,0,tent_literal,metadata_order,0.45517241379310347,0.455003805175038,0.4397163120567376,0.4712709284627093,145,72,69,"[[35, 38], [41, 31]]"
sub-34,0,tent_literal,metadata_order,0.47586206896551725,0.476027397260274,0.4647887323943662,0.518455098934551,145,73,69,"[[36, 36], [40, 33]]"
sub-35,0,tent_literal,metadata_order,0.5,0.5,0.46715328467153283,0.511165321823982,146,73,64,"[[41, 32], [41, 32]]"
sub-36,0,tent_literal,metadata_order,0.5655172413793104,0.5650684931506849,0.5333333333333333,0.5058980213089803,145,72,63,"[[46, 27], [36, 36]]"
sub-37,0,tent_literal,metadata_order,0.45081967213114754,0.4536039768019884,0.41739130434782606,0.4611985639326153,122,51,64,"[[31, 40], [27, 24]]"
sub-38,0,tent_literal,metadata_order,0.4755244755244755,0.4750586854460094,0.5098039215686274,0.4624413145539906,143,72,81,"[[29, 42], [33, 39]]"
sub-40,0,tent_literal,metadata_order,0.4825174825174825,0.4822896281800391,0.4714285714285714,0.4765166340508807,143,70,70,"[[36, 37], [37, 33]]"
sub-41,0,tent_literal,metadata_order,0.5073529411764706,0.5062729829115293,0.464,0.48604802076573655,136,67,58,"[[40, 29], [38, 29]]"
sub-42,0,tent_literal,metadata_order,0.45652173913043476,0.4562749632121085,0.4444444444444444,0.49064536472566744,138,67,68,"[[33, 38], [37, 30]]"
sub-45,0,tent_literal,metadata_order,0.5106382978723404,0.5102739726027397,0.5241379310344828,0.49838839645447214,141,73,72,"[[34, 34], [35, 38]]"
sub-46,0,tent_literal,metadata_order,0.5384615384615384,0.5357142857142857,0.5,0.5078571428571428,130,60,60,"[[40, 30], [30, 30]]"
sub-47,0,tent_literal,metadata_order,0.6137931034482759,0.612062404870624,0.48148148148148145,0.6105403348554034,145,72,36,"[[63, 10], [46, 26]]"
sub-48,0,tent_literal,metadata_order,0.496551724137931,0.49562238294632666,0.46715328467153283,0.5093262276360868,145,71,66,"[[40, 34], [39, 32]]"
sub-49,0,tent_literal,metadata_order,0.5342465753424658,0.5342465753424657,0.48484848484848486,0.5935447551135298,146,73,59,"[[46, 27], [41, 32]]"
